MODE;FCR00_ID(ID);FCR00_ACC_CODE(Hesap Kodu);FCR00_STATU(Statü);FCR00_NAME(Hesap Adı);FCRY0_CODE(YETKİ GRUBU);FCR00_TRADE_NAME(Ticari Adı);BCUR0_CODE(Döviz Kodu);BCUR0_TYPE(Döviz Tipi);FPPL0_CODE_S(ödeme Planı Satış);FPPL0_CODE_P(Ödeme Planı Satınalma);FCRG0_CNDTN(Evrak izleme Koşulu);FCRT0_CODE_G(Hesap Planı Hesap Tipi);GAC00_CODE(Hesap Planı Kodu);FNM00_DESC(Açıklama);FCR50_NAME(Adres Adı);FCR50_ADDRESS(Adres);FCR50_TOWN(İlçe);FCR50_DISTRICT(Mahalle);ACCC3_COUNTRY(Ülke);ACCC4_CITY(Şehir);FCR50_TAX_DEPART(Vergi Dairesi);FCR50_TAX_NO(Vergi No);FCR50_PHONE(Telefon);FCR50_PHONE_2(Telefon 2);FCR50_FAX(Fax);FCR50_INTERNET(İnternet Adresi);FCR50_EMAIL(Email);FCR50_EMAIL_2(Email 2);FBNK0_NAME(Banka Adı);FBNK1_NAME(Şube Adı);BCUR0_CODE_BNK(Döviz Kodu);FCR60_ACCOUNT_NO(Hesap No);FCR60_IBAN_NO(İban No);SST00_CODE_S(Satış Koşulu);SST00_CODE_P(Sat?nalma Ko?ulu)
N;;M 02 I502;A;INTEXTEIS BCN SL;0;INTEXTEIS BCN SL;TL;MBDS;S003;;;GA;120 02 I502;;varsayılan adres;CALLE GUTEMBERG 7 NO:8397                                                                                                                               ;BARCELONA      ;;İSPANYA        ;BARCELONA      ;-;1111111111;                              ;                              ;                              ;;                              ;                              ;;;;;;;
N;;M A01 001;A;ADEN DIŞ TİC. TEKS. SAN.A.Ş.;0;ADEN DIŞ TİC. TEKS. SAN.A.Ş.;TL;MBDS;S003;;;GA;120 01 A001;;varsayılan adres;FATİH CAD.SEDİR SOK.                               NO:14 MERTER/İSTANBUL                                                                                ;               ;;TÜRKİYE        ;               ;MERTER;70075257;637 06 46                     ;                              ;                              ;;                              ;                              ;;;;;;;
